Cell_Number_2021,Plot_ID,Cell_ID,Year,Block_Num,Treatment,Shrub_Interspace,Transect,EcolState,Shrub_Encroach
392,17C_S2,17C_S2,2021,17,Control,Shrub,1,600,High
393,17C_S3,17C_S3,2021,17,Control,Shrub,2,600,High
394,17C_S4,17C_S4,2021,17,Control,Shrub,2,600,High
395,17C_S5,17C_S5,2021,17,Control,Shrub,3,600,High
396,17C_S6,17C_S6,2021,17,Control,Shrub,3,600,High
397,17H_I1,17H_I1,2021,17,Herbicide,Interspace,1,600,High
398,17H_I2,17H_I2,2021,17,Herbicide,Interspace,1,600,High
399,17H_I3,17H_I3,2021,17,Herbicide,Interspace,2,600,High
400,17H_I4,17H_I4,2021,17,Herbicide,Interspace,2,600,High
401,17H_I5,17H_I5,2021,17,Herbicide,Interspace,3,600,High
402,17H_I6,17H_I6,2021,17,Herbicide,Interspace,3,600,High
403,17H_S1,17H_S1,2021,17,Herbicide,Shrub,1,600,High
404,17H_S2,17H_S2,2021,17,Herbicide,Shrub,1,600,High
405,17H_S3,17H_S3,2021,17,Herbicide,Shrub,2,600,High
406,17H_S4,17H_S4,2021,17,Herbicide,Shrub,2,600,High
407,17H_S5,17H_S5,2021,17,Herbicide,Shrub,3,600,High
408,17H_S6,17H_S6,2021,17,Herbicide,Shrub,3,600,High
409,18C_I1,18C_I1,2021,18,Control,Interspace,1,900,High
410,18C_I2,18C_I2,2021,18,Control,Interspace,1,900,High
411,18C_I3,18C_I3,2021,18,Control,Interspace,2,900,High
412,18C_I4,18C_I4,2021,18,Control,Interspace,2,900,High
413,18C_I5,18C_I5,2021,18,Control,Interspace,3,900,High
414,18C_I6,18C_I6,2021,18,Control,Interspace,3,900,High
415,18C_S1,18C_S1,2021,18,Control,Shrub,1,900,High
416,18C_S2,18C_S2,2021,18,Control,Shrub,1,900,High
417,18C_S3,18C_S3,2021,18,Control,Shrub,2,900,High
418,18C_S4,18C_S4,2021,18,Control,Shrub,2,900,High
419,18C_S5,18C_S5,2021,18,Control,Shrub,3,900,High
420,18C_S6,18C_S6,2021,18,Control,Shrub,3,900,High
421,18H_I1,18H_I1,2021,18,Herbicide,Interspace,1,900,High
422,18H_I2,18H_I2,2021,18,Herbicide,Interspace,1,900,High
423,18H_I3,18H_I3,2021,18,Herbicide,Interspace,2,900,High
424,18H_I4,18H_I4,2021,18,Herbicide,Interspace,2,900,High
425,18H_I5,18H_I5,2021,18,Herbicide,Interspace,3,900,High
426,18H_I6,18H_I6,2021,18,Herbicide,Interspace,3,900,High
427,18H_S1,18H_S1,2021,18,Herbicide,Shrub,1,900,High
428,18H_S2,18H_S2,2021,18,Herbicide,Shrub,1,900,High
429,18H_S3,18H_S3,2021,18,Herbicide,Shrub,2,900,High
430,18H_S4,18H_S4,2021,18,Herbicide,Shrub,2,900,High
431,18H_S5,18H_S5,2021,18,Herbicide,Shrub,3,900,High
432,18H_S6,18H_S6,2021,18,Herbicide,Shrub,3,900,High
433,19C_I1,19C_I1,2021,19,Control,Interspace,1,600,High
434,19C_I2,19C_I2,2021,19,Control,Interspace,1,600,High
435,19C_I3,19C_I3,2021,19,Control,Interspace,2,600,High
436,19C_I4,19C_I4,2021,19,Control,Interspace,2,600,High
437,19C_I5,19C_I5,2021,19,Control,Interspace,3,600,High
438,19C_I6,19C_I6,2021,19,Control,Interspace,3,600,High
439,19C_S1,19C_S1,2021,19,Control,Shrub,1,600,High
440,19C_S2,19C_S2,2021,19,Control,Shrub,1,600,High
441,19C_S3,19C_S3,2021,19,Control,Shrub,2,600,High
442,19C_S4,19C_S4,2021,19,Control,Shrub,2,600,High
443,19C_S5,19C_S5,2021,19,Control,Shrub,3,600,High
444,19C_S6,19C_S6,2021,19,Control,Shrub,3,600,High
445,19H_I1,19H_I1,2021,19,Herbicide,Interspace,1,600,High
446,19H_I2,19H_I2,2021,19,Herbicide,Interspace,1,600,High
447,19H_I3,19H_I3,2021,19,Herbicide,Interspace,2,600,High
448,19H_I4,19H_I4,2021,19,Herbicide,Interspace,2,600,High
449,19H_I5,19H_I5,2021,19,Herbicide,Interspace,3,600,High
450,19H_I6,19H_I6,2021,19,Herbicide,Interspace,3,600,High
451,19H_S1,19H_S1,2021,19,Herbicide,Shrub,1,600,High
452,19H_S2,19H_S2,2021,19,Herbicide,Shrub,1,600,High
453,19H_S3,19H_S3,2021,19,Herbicide,Shrub,2,600,High
454,19H_S4,19H_S4,2021,19,Herbicide,Shrub,2,600,High
455,19H_S5,19H_S5,2021,19,Herbicide,Shrub,3,600,High
456,19H_S6,19H_S6,2021,19,Herbicide,Shrub,3,600,High
457,20C_I1,20C_I1,2021,20,Control,Interspace,1,900,High
458,20C_I2,20C_I2,2021,20,Control,Interspace,1,900,High
459,20C_I3,20C_I3,2021,20,Control,Interspace,2,900,High
460,20C_I4,20C_I4,2021,20,Control,Interspace,2,900,High
461,20C_I5,20C_I5,2021,20,Control,Interspace,3,900,High
462,20C_I6,20C_I6,2021,20,Control,Interspace,3,900,High
463,20C_S1,20C_S1,2021,20,Control,Shrub,1,900,High
464,20C_S2,20C_S2,2021,20,Control,Shrub,1,900,High
465,20C_S3,20C_S3,2021,20,Control,Shrub,2,900,High
466,20C_S4,20C_S4,2021,20,Control,Shrub,2,900,High
467,20C_S5,20C_S5,2021,20,Control,Shrub,3,900,High
468,20C_S6,20C_S6,2021,20,Control,Shrub,3,900,High
469,20H_I1,20H_I1,2021,20,Herbicide,Interspace,1,900,High
470,20H_I2,20H_I2,2021,20,Herbicide,Interspace,1,900,High
471,20H_I3,20H_I3,2021,20,Herbicide,Interspace,2,900,High
472,20H_I4,20H_I4,2021,20,Herbicide,Interspace,2,900,High
473,20H_I5,20H_I5,2021,20,Herbicide,Interspace,3,900,High
474,20H_I6,20H_I6,2021,20,Herbicide,Interspace,3,900,High
475,20H_S1,20H_S1,2021,20,Herbicide,Shrub,1,900,High
476,20H_S2,20H_S2,2021,20,Herbicide,Shrub,1,900,High
477,20H_S3,20H_S3,2021,20,Herbicide,Shrub,2,900,High
478,20H_S4,20H_S4,2021,20,Herbicide,Shrub,2,900,High
479,20H_S5,20H_S5,2021,20,Herbicide,Shrub,3,900,High
480,20H_S6,20H_S6,2021,20,Herbicide,Shrub,3,900,High
481,5H_I1,5H_I1_2,2021,5,Herbicide,Interspace,1,600,High
482,5H_I2,5H_I2_2,2021,5,Herbicide,Interspace,1,600,High
483,6H_I1,6H_I1_2,2021,6,Herbicide,Interspace,1,600,High
484,6H_I2,6H_I2_2,2021,6,Herbicide,Interspace,1,600,High
485,6H_S1,6H_S1_2,2021,6,Herbicide,Shrub,1,600,High
486,6H_S2,6H_S2_2,2021,6,Herbicide,Shrub,1,600,High
487,7C_I5,7C_I5_2,2021,7,Control,Interspace,3,600,High
488,7C_I6,7C_I6_2,2021,7,Control,Interspace,3,600,High
489,7H_I1,7H_I1_2,2021,7,Herbicide,Interspace,1,600,High
490,7H_I6,7H_I6_2,2021,7,Herbicide,Interspace,3,600,High
491,9C_I2,9C_I2_2,2021,9,Control,Interspace,1,600,High
492,9H_I5,9H_I5_2,2021,9,Herbicide,Interspace,3,600,High
493,9H_I6,9H_I6_2,2021,9,Herbicide,Interspace,3,600,High
494,10C_I1,10C_I1_2,2021,10,Control,Interspace,1,100,Low
495,14H_I1,14H_I1_2,2021,14,Herbicide,Interspace,1,600,High
496,14H_I2,14H_I2_2,2021,14,Herbicide,Interspace,1,600,High
497,15C_I4,15C_I4_2,2021,15,Control,Interspace,2,600,High
498,16H_I3,16H_I3_2,2021,16,Herbicide,Interspace,2,100,Low
499,18C_I6,18C_I6_2,2021,18,Control,Interspace,3,900,High
500,18H_I5,18H_I5_2,2021,18,Herbicide,Interspace,3,900,High
501,19C_I1,19C_I1_2,2021,19,Control,Interspace,1,600,High
502,19C_S2,19C_S2_2,2021,19,Control,Shrub,1,600,High
503,19C_S3,19C_S3_2,2021,19,Control,Shrub,2,600,High
504,20H_I1,20H_I1_2,2021,20,Herbicide,Interspace,1,900,High
505,Control 1,Control 1,2021,,,,,,
506,Control 2,Control 2,2021,,,,,,
507,Control 3,Control 3,2021,,,,,,
508,Control 4,Control 4,2021,,,,,,
509,Control 5,Control 5,2021,,,,,,
510,Control 6,Control 6,2021,,,,,,
511,Control 7,Control 7,2021,,,,,,
512,Control 8,Control 8,2021,,,,,,
513,Control 9,Control 9,2021,,,,,,
514,Control 10,Control 10,2021,,,,,,
515,Control 11,Control 11,2021,,,,,,
516,Control 12,Control 12,2021,,,,,,
517,Control 13,Control 13,2021,,,,,,
518,Control 14,Control 14,2021,,,,,,
519,Control 15,Control 15,2021,,,,,,
520,Control 16,Control 16,2021,,,,,,
521,Control 17,Control 17,2021,,,,,,
522,Control 18,Control 18,2021,,,,,,
523,Control 19,Control 19,2021,,,,,,
524,Control 20,Control 20,2021,,,,,,
525,Control 21,Control 21,2021,,,,,,
526,Control 22,Control 22,2021,,,,,,
527,Control 23,Control 23,2021,,,,,,
528,Control 24,Control 24,2021,,,,,,
529,Control 25,Control 25,2021,,,,,,
530,Control 26,Control 26,2021,,,,,,
531,Control 27,Control 27,2021,,,,,,
532,Control 28,Control 28,2021,,,,,,
533,Control 29,Control 29,2021,,,,,,
534,Control 30,Control 30,2021,,,,,,
535,Control 31,Control 31,2021,,,,,,
536,Control 32,Control 32,2021,,,,,,
537,Control 33,Control 33,2021,,,,,,
538,Control 34,Control 34,2021,,,,,,
539,Control 35,Control 35,2021,,,,,,
540,Control 36,Control 36,2021,,,,,,
541,Control 37,Control 37,2021,,,,,,
542,Control 38,Control 38,2021,,,,,,
543,Control 39,Control 39,2021,,,,,,
544,Control 40,Control 40,2021,,,,,,
545,Control 41,Control 41,2021,,,,,,
546,Control 42,Control 42,2021,,,,,,
547,Control 43,Control 43,2021,,,,,,
548,Control 44,Control 44,2021,,,,,,
549,Control 45,Control 45,2021,,,,,,
550,Control 46,Control 46,2021,,,,,,
551,Control 47,Control 47,2021,,,,,,
552,Control 48,Control 48,2021,,,,,,
553,Control 49,Control 49,2021,,,,,,
554,Control 50,Control 50,2021,,,,,,
555,Control 51,Control 51,2021,,,,,,
